,Unnamed: 0,LOCATION,TIME,Turkey_unemployment_rate,index,time_close,ETH_closing_price,yfit,xfit
0,0.0,TUR,2016-08-01,11.1,0.0,2016-10-31 00:00:00+00:00,9.9355,,
1,1.0,TUR,2016-09-01,11.6,1.0,2016-11-30 00:00:00+00:00,7.975550000000001,,
2,2.0,TUR,2016-10-01,11.5,2.0,2016-12-31 00:00:00+00:00,6.7098933333333335,,
3,3.0,TUR,2016-11-01,11.6,3.0,2017-01-31 00:00:00+00:00,8.442843333333334,,
4,4.0,TUR,2016-12-01,12.1,4.0,2017-02-28 00:00:00+00:00,10.676926666666667,,
5,5.0,TUR,2017-01-01,12.0,5.0,2017-03-31 00:00:00+00:00,29.256236666666666,,
6,6.0,TUR,2017-02-01,11.9,6.0,2017-04-30 00:00:00+00:00,43.29828666666666,,
7,7.0,TUR,2017-03-01,11.9,7.0,2017-05-31 00:00:00+00:00,91.30842333333334,,
8,8.0,TUR,2017-04-01,11.6,8.0,2017-06-30 00:00:00+00:00,234.96738,,
9,9.0,TUR,2017-05-01,11.1,9.0,2017-07-31 00:00:00+00:00,163.49625333333333,,
10,10.0,TUR,2017-06-01,11.0,10.0,2017-08-31 00:00:00+00:00,227.66631,,
11,11.0,TUR,2017-07-01,10.6,11.0,2017-09-30 00:00:00+00:00,207.005,,
12,12.0,TUR,2017-08-01,10.5,12.0,2017-10-31 00:00:00+00:00,222.31,,
13,13.0,TUR,2017-09-01,10.3,13.0,2017-11-30 00:00:00+00:00,230.16333333333333,,
14,14.0,TUR,2017-10-01,10.3,14.0,2017-12-31 00:00:00+00:00,386.3966666666667,,
15,15.0,TUR,2017-11-01,10.1,15.0,2018-01-31 00:00:00+00:00,662.9466666666667,,
16,16.0,TUR,2017-12-01,9.9,16.0,2018-02-28 00:00:00+00:00,545.8333333333334,,
17,17.0,TUR,2018-01-01,9.8,17.0,2018-03-31 00:00:00+00:00,460.3433333333333,,
18,18.0,TUR,2018-02-01,10.0,18.0,2018-04-30 00:00:00+00:00,360.1166666666666,,
19,19.0,TUR,2018-03-01,10.0,19.0,2018-05-31 00:00:00+00:00,507.7866666666667,,
20,20.0,TUR,2018-04-01,10.2,20.0,2018-06-30 00:00:00+00:00,392.6,,
21,21.0,TUR,2018-05-01,10.6,21.0,2018-07-31 00:00:00+00:00,346.5,,
22,22.0,TUR,2018-06-01,10.7,22.0,2018-08-31 00:00:00+00:00,254.245,,
23,23.0,TUR,2018-07-01,10.8,23.0,2018-09-30 00:00:00+00:00,166.27666666666667,,
24,24.0,TUR,2018-08-01,11.2,24.0,2018-10-31 00:00:00+00:00,161.92333333333337,,
25,25.0,TUR,2018-09-01,11.5,25.0,2018-11-30 00:00:00+00:00,122.71999999999998,,
26,26.0,TUR,2018-10-01,11.6,26.0,2018-12-31 00:00:00+00:00,87.06,,
27,27.0,TUR,2018-11-01,12.2,27.0,2019-01-31 00:00:00+00:00,98.96333333333332,,
28,28.0,TUR,2018-12-01,12.7,28.0,2019-02-28 00:00:00+00:00,94.64333333333332,,
29,29.0,TUR,2019-01-01,13.5,29.0,2019-03-31 00:00:00+00:00,106.64666666666666,,
30,30.0,TUR,2019-02-01,13.9,30.0,2019-04-30 00:00:00+00:00,130.43666666666667,,
31,31.0,TUR,2019-03-01,13.9,31.0,2019-05-31 00:00:00+00:00,176.73,,
32,32.0,TUR,2019-04-01,13.7,32.0,2019-06-30 00:00:00+00:00,215.48333333333332,,
33,33.0,TUR,2019-05-01,13.7,33.0,2019-07-31 00:00:00+00:00,194.21666666666667,,
34,34.0,TUR,2019-06-01,13.7,34.0,2019-08-31 00:00:00+00:00,164.23333333333338,,
35,35.0,TUR,2019-07-01,13.9,35.0,2019-09-30 00:00:00+00:00,143.96666666666667,,
36,36.0,TUR,2019-08-01,14.0,36.0,2019-10-31 00:00:00+00:00,142.31,,
37,37.0,TUR,2019-09-01,14.0,37.0,2019-11-30 00:00:00+00:00,132.51000000000002,,
38,38.0,TUR,2019-10-01,13.5,38.0,2019-12-31 00:00:00+00:00,105.66666666666669,,
39,39.0,TUR,2019-11-01,13.4,39.0,2020-01-31 00:00:00+00:00,112.54666666666668,,
40,40.0,TUR,2019-12-01,13.4,40.0,2020-02-29 00:00:00+00:00,184.6433333333333,,
41,41.0,TUR,2020-01-01,13.2,41.0,2020-03-31 00:00:00+00:00,134.61666666666667,,
42,42.0,TUR,2020-02-01,12.8,42.0,2020-04-30 00:00:00+00:00,130.20000000000002,,
43,43.0,TUR,2020-03-01,13.1,43.0,2020-05-31 00:00:00+00:00,165.96,,
44,44.0,TUR,2020-04-01,13.4,44.0,2020-06-30 00:00:00+00:00,188.9633333333333,,
45,45.0,TUR,2020-05-01,13.2,45.0,2020-07-31 00:00:00+00:00,208.805,,
46,46.0,TUR,2020-06-01,13.3,46.0,2020-08-31 00:00:00+00:00,313.6033333333333,,
47,47.0,TUR,2020-07-01,14.4,47.0,2020-09-30 00:00:00+00:00,283.5833333333333,,
48,48.0,TUR,2020-08-01,12.9,48.0,2020-10-31 00:00:00+00:00,291.2966666666667,,
49,49.0,TUR,2020-09-01,12.8,49.0,2020-11-30 00:00:00+00:00,370.77333333333337,,
50,50.0,TUR,2020-10-01,13.0,50.0,2020-12-31 00:00:00+00:00,481.10666666666674,,
51,51.0,TUR,2020-11-01,13.0,51.0,2021-01-31 00:00:00+00:00,908.4066666666665,,
52,52.0,TUR,2020-12-01,12.8,52.0,2021-02-28 00:00:00+00:00,1186.0933333333335,,
53,53.0,TUR,2021-01-01,12.7,53.0,2021-03-31 00:00:00+00:00,1279.45,,
54,54.0,TUR,2021-02-01,13.2,54.0,2021-04-30 00:00:00+00:00,1684.03,,
55,55.0,TUR,2021-03-01,13.0,55.0,2021-05-31 00:00:00+00:00,2251.036666666667,,
56,56.0,TUR,2021-04-01,13.4,56.0,2021-06-30 00:00:00+00:00,1643.5866666666668,,
57,57.0,TUR,2021-05-01,12.6,57.0,2021-07-31 00:00:00+00:00,1519.46,,
58,58.0,TUR,2021-06-01,10.6,58.0,2021-08-31 00:00:00+00:00,2253.7966666666666,,
59,59.0,TUR,2021-07-01,11.9,59.0,2021-09-30 00:00:00+00:00,2480.56,,
60,60.0,TUR,2021-08-01,11.8,60.0,2021-10-31 00:00:00+00:00,2729.0533333333333,,
61,61.0,TUR,2021-09-01,11.5,61.0,2021-11-30 00:00:00+00:00,3360.0066666666667,,
0,,,,,,,,12.542944202310393,6.7098933333333335
1,,,,,,,,12.53904734061278,10.066546760093427
2,,,,,,,,12.535022220046487,13.42320018685352
3,,,,,,,,12.530871052209678,16.779853613613614
4,,,,,,,,12.526596034750801,20.136507040373708
5,,,,,,,,12.522199351402213,23.4931604671338
6,,,,,,,,12.517683172013815,26.849813893893895
7,,,,,,,,12.513049652586679,30.20646732065399
8,,,,,,,,12.508300935306675,33.56312074741408
9,,,,,,,,12.503439148578112,36.91977417417418
10,,,,,,,,12.498466407057352,40.27642760093427
11,,,,,,,,12.493384811686452,43.63308102769437
12,,,,,,,,12.488196449726793,46.98973445445446
13,,,,,,,,12.4829033947927,50.34638788121455
