,Unnamed: 0,LOCATION,TIME,Turkey_unemployment_rate,index,time_close,BTC_closing_price,yfit,xfit
0,0.0,TUR,2015-09-01,10.2,4.0,2015-08-31 00:00:00+00:00,162.85666666666663,,
1,1.0,TUR,2015-10-01,10.2,5.0,2015-09-30 00:00:00+00:00,154.57666666666668,,
2,2.0,TUR,2015-11-01,10.2,6.0,2015-10-31 00:00:00+00:00,172.75,,
3,3.0,TUR,2015-12-01,10.4,7.0,2015-11-30 00:00:00+00:00,230.23666666666668,,
4,4.0,TUR,2016-01-01,10.2,8.0,2015-12-31 00:00:00+00:00,290.2266666666667,,
5,5.0,TUR,2016-02-01,10.1,9.0,2016-01-31 00:00:00+00:00,292.62333333333333,,
6,6.0,TUR,2016-03-01,10.2,10.0,2016-02-29 00:00:00+00:00,274.18333333333334,,
7,7.0,TUR,2016-04-01,10.1,11.0,2016-03-31 00:00:00+00:00,289.38000000000005,,
8,8.0,TUR,2016-05-01,10.3,12.0,2016-04-30 00:00:00+00:00,309.3433333333333,,
9,9.0,TUR,2016-06-01,10.7,13.0,2016-05-31 00:00:00+00:00,314.16333333333336,,
10,10.0,TUR,2016-07-01,11.1,14.0,2016-06-30 00:00:00+00:00,419.3966666666667,,
11,11.0,TUR,2016-08-01,11.1,15.0,2016-07-31 00:00:00+00:00,515.3733333333333,,
12,12.0,TUR,2016-09-01,11.6,16.0,2016-08-31 00:00:00+00:00,449.8475,,
13,13.0,TUR,2016-10-01,11.5,17.0,2016-09-30 00:00:00+00:00,472.71333333333337,,
14,14.0,TUR,2016-11-01,11.6,18.0,2016-10-31 00:00:00+00:00,532.6866666666666,,
15,15.0,TUR,2016-12-01,12.1,19.0,2016-11-30 00:00:00+00:00,598.0533333333334,,
16,16.0,TUR,2017-01-01,12.0,20.0,2016-12-31 00:00:00+00:00,686.7433333333332,,
17,17.0,TUR,2017-02-01,11.9,21.0,2017-01-31 00:00:00+00:00,738.9866666666667,,
18,18.0,TUR,2017-03-01,11.9,22.0,2017-02-28 00:00:00+00:00,887.9966666666666,,
19,19.0,TUR,2017-04-01,11.6,23.0,2017-03-31 00:00:00+00:00,883.1233333333333,,
20,20.0,TUR,2017-05-01,11.1,24.0,2017-04-30 00:00:00+00:00,983.2333333333332,,
21,21.0,TUR,2017-06-01,11.0,25.0,2017-05-31 00:00:00+00:00,1514.8366666666668,,
22,22.0,TUR,2017-07-01,10.6,26.0,2017-06-30 00:00:00+00:00,2067.9933333333333,,
23,23.0,TUR,2017-08-01,10.5,27.0,2017-07-31 00:00:00+00:00,1900.4016666666666,,
24,24.0,TUR,2017-09-01,10.3,28.0,2017-08-31 00:00:00+00:00,3106.5056666666665,,
25,25.0,TUR,2017-10-01,10.3,29.0,2017-09-30 00:00:00+00:00,3057.8033333333333,,
26,26.0,TUR,2017-11-01,10.1,30.0,2017-10-31 00:00:00+00:00,4017.106666666666,,
27,27.0,TUR,2017-12-01,9.9,31.0,2017-11-30 00:00:00+00:00,5717.056666666666,,
28,28.0,TUR,2018-01-01,9.8,32.0,2017-12-31 00:00:00+00:00,10770.063333333334,,
29,29.0,TUR,2018-02-01,10.0,33.0,2018-01-31 00:00:00+00:00,9876.883333333333,,
30,30.0,TUR,2018-03-01,10.0,34.0,2018-02-28 00:00:00+00:00,6633.079999999999,,
31,31.0,TUR,2018-04-01,10.2,35.0,2018-03-31 00:00:00+00:00,6785.493333333333,,
